timestamp,frame_id,packet_type,throttle,brake,steering,speed,gear,rpm,drs,position_x,position_y,position_z
2025-12-28T17:53:46.964916,4081329676,6,51,0,0.0,0,-128,54015,0,,,
2025-12-28T17:53:47.064906,4114884116,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:47.067261,4114884116,6,51,0,0.0,0,-128,54783,0,,,
2025-12-28T17:53:47.167252,4148438554,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:47.169708,4148438554,6,51,0,0.0,0,-128,55295,0,,,
2025-12-28T17:53:47.269545,4181992992,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:47.272039,4181992992,6,51,0,0.0,0,-128,56063,0,,,
2025-12-28T17:53:47.287286,4215547430,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:47.289796,4215547430,6,51,0,0.0,0,-128,56575,0,,,
2025-12-28T17:53:47.377352,4249101868,6,51,0,0.0,0,-128,57087,0,,,
2025-12-28T17:53:47.573144,4282656308,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:47.575549,4282656308,6,51,0,0.0,0,-128,57855,0,,,
2025-12-28T17:53:47.587963,21243450,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:47.590464,21243450,6,52,0,0.0,0,-128,58367,0,,,
2025-12-28T17:53:47.778105,54797888,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:47.780652,54797888,6,52,0,0.0,0,-128,58879,0,,,
2025-12-28T17:53:47.798594,88352327,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:47.801213,88352327,6,52,0,0.0,0,-128,59391,0,,,
2025-12-28T17:53:47.886951,121906765,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:47.889560,121906765,6,52,0,0.0,0,-128,59903,0,,,
2025-12-28T17:53:47.990065,155461203,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:47.992739,155461203,6,52,0,0.0,0,-128,60415,0,,,
2025-12-28T17:53:48.092965,189015642,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:48.095591,189015642,6,52,0,0.0,0,-128,60927,0,,,
2025-12-28T17:53:48.193756,222570080,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:48.196249,222570080,6,52,0,0.0,0,-128,61439,0,,,
2025-12-28T17:53:48.299048,256124519,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:48.301529,256124519,6,52,0,0.0,0,-128,61951,0,,,
2025-12-28T17:53:48.401021,289678957,6,52,0,0.0,0,-128,62463,0,,,
2025-12-28T17:53:48.500953,323233396,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:48.503442,323233396,6,52,0,0.0,0,-128,62975,0,,,
2025-12-28T17:53:48.603492,356787834,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:48.605942,356787834,6,52,0,0.0,0,-128,63487,0,,,
2025-12-28T17:53:48.705746,390342273,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:48.708235,390342273,6,52,0,0.0,0,-128,63743,0,,,
2025-12-28T17:53:48.812998,423896711,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:48.815529,423896711,6,52,0,0.0,0,-128,64255,0,,,
2025-12-28T17:53:48.910593,457451150,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:48.913036,457451150,6,52,0,0.0,0,-128,64767,0,,,
2025-12-28T17:53:49.014178,491005587,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:49.018022,491005587,6,52,0,0.0,0,-128,65023,0,,,
2025-12-28T17:53:49.115519,524560026,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:49.117908,524560026,6,52,0,0.0,0,-128,65535,0,,,
2025-12-28T17:53:49.217886,558114464,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:49.220377,558114464,6,52,0,0.0,1,-128,511,0,,,
2025-12-28T17:53:49.322944,591668903,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:49.325539,591668903,6,52,0,0.0,1,-128,1023,0,,,
2025-12-28T17:53:49.423075,625223342,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:49.522461,658777780,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:49.524891,658777780,6,52,0,0.0,1,-128,1791,0,,,
2025-12-28T17:53:49.624808,692332218,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:49.627285,692332218,6,52,0,0.0,1,-128,2303,0,,,
2025-12-28T17:53:49.731596,725886656,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:49.734073,725886656,6,52,0,0.0,1,-128,2559,0,,,
2025-12-28T17:53:49.836425,759441094,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:49.838942,759441094,6,52,0,0.0,1,-128,3071,0,,,
2025-12-28T17:53:50.030740,792995533,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:50.033236,792995533,6,52,0,0.0,1,-128,3583,0,,,
2025-12-28T17:53:50.045671,826549971,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:50.048164,826549971,6,52,0,0.0,1,-128,3839,0,,,
2025-12-28T17:53:50.136800,860104410,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:50.139337,860104410,6,52,0,0.0,1,-128,4351,0,,,
2025-12-28T17:53:50.241664,893658848,6,52,0,0.0,1,-128,4607,0,,,
2025-12-28T17:53:50.266026,927213286,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:50.268637,927213286,6,52,0,0.0,1,-128,5119,0,,,
2025-12-28T17:53:50.357023,960767724,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:50.359587,960767724,6,52,0,0.0,1,-128,5375,0,,,
2025-12-28T17:53:50.546363,994322164,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:50.548902,994322164,6,52,0,0.0,1,-128,5887,0,,,
2025-12-28T17:53:50.648887,1027876601,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:50.651306,1027876601,6,52,0,0.0,1,-128,6143,0,,,
2025-12-28T17:53:50.751193,1061431041,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:50.753780,1061431041,6,52,0,0.0,1,-128,6655,0,,,
2025-12-28T17:53:50.858437,1094985479,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:50.860931,1094985479,6,52,0,0.0,1,-128,6911,0,,,
2025-12-28T17:53:50.955984,1128539917,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:50.958450,1128539917,6,52,0,0.0,1,-128,7167,0,,,
2025-12-28T17:53:51.058402,1162094355,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:51.060952,1162094355,6,52,0,0.0,1,-128,7679,0,,,
2025-12-28T17:53:51.160801,1195648794,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:51.163319,1195648794,6,52,0,0.0,1,-128,7935,0,,,
2025-12-28T17:53:51.263271,1229203232,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:51.265699,1229203232,6,52,0,0.0,1,-128,8447,0,,,
2025-12-28T17:53:51.368452,1262757670,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:51.371188,1262757670,6,52,0,0.0,1,-128,8703,0,,,
2025-12-28T17:53:51.468017,1296312109,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:51.470486,1296312109,6,52,0,0.0,1,-128,8959,0,,,
2025-12-28T17:53:51.570414,1329866547,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:51.572918,1329866547,6,52,0,0.0,1,-128,9215,0,,,
2025-12-28T17:53:51.673437,1363420986,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:51.675919,1363420986,6,52,0,0.0,1,-128,9471,0,,,
2025-12-28T17:53:51.775272,1396975424,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:51.777704,1396975424,6,52,0,0.0,1,-128,9983,0,,,
2025-12-28T17:53:51.794905,1430529862,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:51.797386,1430529862,6,52,0,0.0,1,-128,10239,0,,,
2025-12-28T17:53:51.976334,1464084301,0,,,,,,,,0.0,0.0,-0.0
2025-12-28T17:53:51.978814,1464084301,6,52,0,0.0,1,-128,10495,0,,,
2025-12-28T17:53:51.991709,1497638739,0,,,,,,,,0.0,0.0,5.2222958099892287e+36
2025-12-28T17:53:51.994166,1497638739,6,52,0,0.0,1,-128,10495,0,,,
2025-12-28T17:53:52.057900,1531193177,0,,,,,,,,0.0,0.0,2.3914870321421913e+35
